species,species_lemmatized
Actinotignum sanguinis,Actinotignum sanguinis
Actinotignum schaalii,Actinotignum schaalii
Actinotignum urinale,actinotignum urinale
Acutalibacter muris,acutalibacter muris
Acuticoccus kandeliae,Acuticoccus kandeliae
Acuticoccus sediminis,Acuticoccus sediminis
Acuticoccus yangtzensis,Acuticoccus yangtzensis
Adhaeribacter aerolatus,adhaeribacter aerolatus
Adhaeribacter aerophilus,adhaeribacter aerophilus
Adhaeribacter aquaticus,adhaeribacter aquaticus
Adhaeribacter sp.,adhaeribacter sp .
Adhaeribacter swui,adhaeribacter swui
Adhaeribacter terrae,adhaeribacter terrae
Adhaeribacter terreus,adhaeribacter terreus
Adlercreutzia caecicola,adlercreutzia caecicola
Adlercreutzia caecimuris,adlercreutzia caecimuris
Adlercreutzia equolifaciens,Adlercreutzia equolifaciens
Adlercreutzia equolifaciens subsp. celatus,Adlercreutzia equolifaciens subsp . celatus
Adlercreutzia mucosicola,adlercreutzia mucosicola
Adlercreutzia muris,adlercreutzia muris
Advenella alkanexedens,Advenella alkanexedens
Advenella faeciporci,Advenella faeciporci
Advenella incenata,Advenella incenata
Advenella kashmirensis,Advenella kashmirensis
Advenella kashmirensis subsp. methylica,Advenella kashmirensis subsp . methylica
Advenella mimigardefordensis,Advenella mimigardefordensis
Advenella sp.,advenella sp .
Aeoliella mucimassa,Aeoliella mucimassa
Aequoribacter fuscus,aequoribacter fuscus
Aequorivita aestuarii,Aequorivita aestuarii
Aequorivita antarctica,Aequorivita antarctica
Aequorivita aquimaris,aequorivita aquimaris
Aequorivita capsosiphonis,Aequorivita capsosiphonis
Aequorivita crocea,Aequorivita crocea
Aequorivita echinoideorum,aequorivita echinoideorum
Aequorivita lipolytica,Aequorivita lipolytica
Aequorivita sinensis,aequorivita sinensis
Aequorivita sp.,Aequorivita sp .
Aequorivita sublithincola,Aequorivita sublithincola
Aequorivita todarodis,Aequorivita todarodis
Aequorivita viscosa,Aequorivita viscosa
Aequorivita vladivostokensis,aequorivita vladivostokensis
Aeribacillus composti,aeribacillus composti
Aeribacillus pallidus,aeribacillus pallidus
Aeribacillus sp.,aeribacillus sp .
Aeriscardovia aeriphila,Aeriscardovia aeriphila
Aerococcus christensenii,Aerococcus christensenii
Aerococcus sanguinicola,Aerococcus sanguinicola
Aerococcus sp.,aerococcus sp .
Aerococcus suis,Aerococcus suis
Aerococcus urinae,Aerococcus urinae
Aerococcus urinaeequi,Aerococcus urinaeequi
Aerococcus urinaehominis,aerococcus urinaehominis
Aerococcus vaginalis,aerococcus vaginalis
Aerococcus viridans,aerococcus viridans
Aeromicrobium alkaliterrae,aeromicrobium alkaliterrae
Aeromicrobium camelliae,aeromicrobium camelliae
Aeromicrobium chenweiae,aeromicrobium chenweiae
Aeromicrobium choanae,Aeromicrobium choanae
Aeromicrobium erythreum,aeromicrobium erythreum
Aeromicrobium flavum,aeromicrobium flavum
Aeromicrobium ginsengisoli,aeromicrobium ginsengisoli
Aeromicrobium halocynthiae,aeromicrobium halocynthiae
Aeromicrobium halotolerans,aeromicrobium halotoleran
Aeromicrobium lacus,aeromicrobium lacus
Aeromicrobium marinum,aeromicrobium marinum
Aeromicrobium massiliense,aeromicrobium massiliense
Aeromicrobium panacisoli,aeromicrobium panacisoli
Aeromicrobium panaciterrae,aeromicrobium panaciterrae
Aeromicrobium phragmitis,aeromicrobium phragmitis
Aeromicrobium ponti,aeromicrobium ponti
Aeromicrobium sp.,aeromicrobium sp .
Aeromicrobium tamlense,aeromicrobium tamlense
Aeromicrobium terrae,aeromicrobium terrae
Aeromicrobium yanjiei,aeromicrobium yanjiei
Aeromonas allosaccharophila,Aeromonas allosaccharophila
Aeromonas aquatica,Aeromonas aquatica
Aeromonas australiensis,Aeromonas australiensis
Aeromonas bestiarum,Aeromonas bestiarum
Aeromonas bivalvium,Aeromonas bivalvium
Aeromonas cavernicola,Aeromonas cavernicola
Aeromonas caviae,aeromonas caviae
Aeromonas dhakensis,Aeromonas dhakensis
Aeromonas diversa,Aeromonas diversa
Aeromonas encheleia,Aeromonas encheleia
Aeromonas enteropelogenes,Aeromonas enteropelogenes
Aeromonas eucrenophila,Aeromonas eucrenophila
Aeromonas finlandensis,Aeromonas finlandensis
Aeromonas fluvialis,Aeromonas fluvialis
Aeromonas hydrophila,aeromonas hydrophila
Aeromonas hydrophila subsp. hydrophila,aeromonas hydrophila subsp . hydrophila
Aeromonas hydrophila subsp. ranae,aeromonas hydrophila subsp . ranae
Aeromonas ichthiosmia,Aeromonas ichthiosmia
Aeromonas jandaei,Aeromonas jandaei
Aeromonas lacus,Aeromonas lacus
Aeromonas lusitana,Aeromonas lusitana
Aeromonas media,Aeromonas media
Aeromonas molluscorum,Aeromonas molluscorum
Aeromonas piscicola,Aeromonas piscicola
Aeromonas popoffii,Aeromonas popoffii
Aeromonas rivipollensis,Aeromonas rivipollensis
Aeromonas rivuli,Aeromonas rivuli
Aeromonas salmonicida,aeromonas salmonicida
Aeromonas salmonicida subsp. achromogenes,aeromonas salmonicida subsp . achromogenes
Aeromonas salmonicida subsp. masoucida,aeromonas salmonicida subsp . masoucida
Aeromonas salmonicida subsp. pectinolytica,aeromonas salmonicida subsp . pectinolytica
Aeromonas salmonicida subsp. salmonicida,aeromonas salmonicida subsp . salmonicida
Aeromonas salmonicida subsp. smithia,aeromonas salmonicida subsp . smithia
Aeromonas sanarellii,Aeromonas sanarellii
Aeromonas schubertii,Aeromonas schubertii
Aeromonas simiae,Aeromonas simiae
Aeromonas sobria,Aeromonas sobria
Aeromonas sp.,Aeromonas sp .
Aeromonas taiwanensis,Aeromonas taiwanensis
Aeromonas tecta,Aeromonas tecta
Aeromonas veronii,Aeromonas veronii
Aeropyrum camini,Aeropyrum camini
Aeropyrum pernix,Aeropyrum pernix
Aerosticca soli,Aerosticca soli
Aestuariibacter halophilus,aestuariibacter halophilus
Aestuariibacter salexigens,aestuariibacter salexigen
Aestuariibaculum marinum,aestuariibaculum marinum
Aestuariibaculum scopimerae,aestuariibaculum scopimerae
Aestuariibaculum suncheonense,aestuariibaculum suncheonense
Aestuariibius insulae,Aestuariibius insulae
Aestuariicella hydrocarbonica,aestuariicella hydrocarbonica
Aestuariicoccus marinus,Aestuariicoccus marinus
Aestuariihabitans beolgyonensis,Aestuariihabitans beolgyonensis
Aestuariimicrobium kwangyangense,aestuariimicrobium kwangyangense
Aestuariimicrobium soli,aestuariimicrobium soli
Aestuariimonas insulae,Aestuariimonas insulae
Aestuariirhabdus litorea,Aestuariirhabdus litorea
Aestuariivirga litoralis,Aestuariivirga litoralis
Aestuariivita boseongensis,aestuariivita boseongensis
Aetherobacter fasciculatus,aetherobacter fasciculatus
Aetherobacter rufus,Aetherobacter rufus
Afifella marina,Afifella marina
Afifella pfennigii,Afifella pfennigii
Afifella sp.,afifella sp .
Afipia birgiae,Afipia birgiae
Afipia broomeae,Afipia broomeae
Afipia carboxidovorans,Afipia carboxidovoran
Afipia clevelandensis,Afipia clevelandensis
Afipia felis,Afipia felis
Afipia massiliensis,Afipia massiliensis
Afipia sp.,Afipia sp .
Agaribacter flavus,agaribacter flavus
Agaribacterium haliotis,agaribacterium haliotis
Agaricicola taiwanensis,Agaricicola taiwanensis
Agarilytica rhodophyticola,Agarilytica rhodophyticola
Agarivorans aestuarii,Agarivorans aestuarii
Agarivorans albus,Agarivorans albus
Agarivorans gilvus,Agarivorans gilvus
Agarivorans litoreus,agarivorans litoreus
Agarivorans sp.,Agarivorans sp .
Agathobacter rectalis,agathobacter rectalis
Agathobacter ruminis,agathobacter ruminis
Agathobaculum butyriciproducens,agathobaculum butyriciproducens
Agathobaculum desmolans,Agathobaculum desmolans
Aggregatibacter actinomycetemcomitans,aggregatibacter actinomycetemcomitans
Aggregatibacter aphrophilus,aggregatibacter aphrophilus
Aggregatibacter kilianii,aggregatibacter kilianii
Aggregatibacter segnis,aggregatibacter segnis
Aggregatilinea lenta,Aggregatilinea lenta
Aggregicoccus edonensis,Aggregicoccus edonensis
Agitococcus lubricus,agitococcus lubricus
Agreia bicolorata,Agreia bicolorata
Agreia pratensis,Agreia pratensis
Agreia sp.,Agreia sp .
Agrilactobacillus composti,agrilactobacillus composti
Agrilactobacillus yilanensis,agrilactobacillus yilanensis
Agrobacterium arsenijevicii,agrobacterium arsenijevicii
Agrobacterium bohemicum,agrobacterium bohemicum
Agrobacterium larrymoorei,agrobacterium larrymoorei
Agrobacterium nepotum,agrobacterium nepotum
Agrobacterium pusense,agrobacterium pusense
Agrobacterium radiobacter,agrobacterium radiobacter
Agrobacterium rosae,agrobacterium rosae
Agrobacterium rubi,agrobacterium rubi
Agrobacterium salinitolerans,agrobacterium salinitolerans
Agrobacterium skierniewicense,agrobacterium skierniewicense
Agrobacterium sp.,agrobacterium sp .
Agrococcus baldri,Agrococcus baldri
Agrococcus carbonis,agrococcus carbonis
Agrococcus casei,Agrococcus casei
Agrococcus citreus,Agrococcus citreus
Agrococcus jejuensis,agrococcus jejuensis
Agrococcus jenensis,Agrococcus jenensis
Agrococcus lahaulensis,agrococcus lahaulensis
Agrococcus sp.,Agrococcus sp .
Agrococcus terreus,Agrococcus terreus
Agrococcus versicolor,Agrococcus versicolor
Agromyces albus,agromyce albus
Agromyces allii,agromyce allii
Agromyces arachidis,agromyces arachidis
Agromyces atrinae,agromyce atrinae
Agromyces aurantiacus,agromyces aurantiacus
Agromyces aureus,Agromyces aureus
Agromyces badenianii,agromyces badenianii
Agromyces bauzanensis,agromyces bauzanensis
Agromyces binzhouensis,agromyces binzhouensis
Agromyces bracchium,agromyces bracchium
Agromyces cerinus,agromyces cerinus
Agromyces cerinus subsp. cerinus,agromyces cerinus subsp . cerinus
Agromyces cerinus subsp. nitratus,agromyces cerinus subsp . nitratus
Agromyces flavus,agromyces flavus
Agromyces fucosus,agromyces fucosus
Agromyces fucosus subsp. hippuratus,agromyces fucosus subsp . hippuratus
Agromyces humatus,agromyces humatus
Agromyces indicus,agromyces indicus
Agromyces insulae,agromyces insulae
Agromyces iriomotensis,agromyces iriomotensis
Agromyces italicus,agromyces italicus
Agromyces lapidis,agromyces lapidis
Agromyces luteolus,agromyces luteolus
Agromyces marinus,Agromyces marinus
Agromyces mediolanus,agromyces mediolanus
Agromyces neolithicus,Agromyces neolithicus
Agromyces ramosus,agromyces ramosus
Agromyces rhizosphaerae,agromyce rhizosphaerae
Agromyces salentinus,agromyces salentinus
Agromyces soli,agromyces soli
Agromyces sp.,agromyce sp .
Agromyces subbeticus,agromyce subbeticus
Agromyces subtropicus,Agromyces subtropicus
Agromyces tardus,agromyces tardus
Agromyces terreus,Agromyces terreus
Agromyces tropicus,Agromyces tropicus
Agromyces ulmi,agromyces ulmi
Ahniella affigens,Ahniella affigen
Ahrensia kielensis,Ahrensia kielensis
Ahrensia marina,Ahrensia marina
Aidingibacillus halophilus,aidingibacillus halophilus
Aidingimonas halophila,Aidingimonas halophila
Aidingimonas sp.,Aidingimonas sp .
Akkermansia glycaniphila,Akkermansia glycaniphila
Akkermansia muciniphila,Akkermansia muciniphila
Albibacillus kandeliae,albibacillus kandeliae
Albibacter helveticus,albibacter helveticus
Albibacter methylovorans,albibacter methylovoran
Albibacterium bauzanense,albibacterium bauzanense
Albidiferax ferrireducens,albidiferax ferrireducens
Albidovulum inexpectatum,albidovulum inexpectatum
Albidovulum sp.,albidovulum sp .
Albimonas donghaensis,Albimonas donghaensis
Albimonas pacifica,Albimonas pacifica
Albirhodobacter confluentis,albirhodobacter confluentis
Albirhodobacter marinus,albirhodobacter marinus
Alcaligenes aquatilis,alcaligenes aquatilis
Alcaligenes endophyticus,alcaligene endophyticus
Alcaligenes faecalis,Alcaligenes faecalis
Alcaligenes faecalis subsp. faecalis,Alcaligenes faecalis subsp . faecalis
Alcaligenes faecalis subsp. parafaecalis,Alcaligenes faecalis subsp . parafaecalis
Alcaligenes faecalis subsp. phenolicus,Alcaligenes faecalis subsp . phenolicus
Alcaligenes pakistanensis,alcaligenes pakistanensis
Alcaligenes sp.,Alcaligenes sp .
Alcanivorax balearicus,Alcanivorax balearicus
Alcanivorax borkumensis,Alcanivorax borkumensis
Alcanivorax dieselolei,Alcanivorax dieselolei
Alcanivorax gelatiniphagus,alcanivorax gelatiniphagus
Alcanivorax hongdengensis,Alcanivorax hongdengensis
Alcanivorax indicus,alcanivorax indicus
Alcanivorax jadensis,Alcanivorax jadensis
Alcanivorax marinus,Alcanivorax marinus
Alcanivorax mobilis,Alcanivorax mobilis
Alcanivorax nanhaiticus,Alcanivorax nanhaiticus
Alcanivorax profundi,Alcanivorax profundi
Alcanivorax sp.,alcanivorax sp .
Alcanivorax venustensis,Alcanivorax venustensis
Alcanivorax xenomutans,Alcanivorax xenomutan
Aldersonia kunmingensis,aldersonia kunmingensis
Algibacter agarilyticus,algibacter agarilyticus
Algibacter agarivorans,algibacter agarivoran
Algibacter alginicilyticus,algibacter alginicilyticus
Algibacter amylolyticus,algibacter amylolyticus
Algibacter aquaticus,algibacter aquaticus
Algibacter aquimarinus,algibacter aquimarinus
Algibacter lectus,algibacter lectus
Algibacter mikhailovii,algibacter mikhailovii
Algibacter pectinivorans,algibacter pectinivorans
Algibacter psychrophilus,algibacter psychrophilus
Algibacter sp.,algibacter sp .
Algibacter undariae,algibacter undariae
Algicola bacteriolytica,algicola bacteriolytica
Algicola sagamiensis,Algicola sagamiensis
Algihabitans albus,Algihabitans albus
Algimonas ampicilliniresistens,Algimonas ampicilliniresistens
Algimonas porphyrae,Algimonas porphyrae
Algiphilus aromaticivorans,algiphilus aromaticivoran
Algisphaera agarilytica,Algisphaera agarilytica
Algivirga pacifica,Algivirga pacifica
Algoriella xinjiangensis,Algoriella xinjiangensis
Algoriphagus aestuariicola,Algoriphagus aestuariicola
Algoriphagus alkaliphilus,algoriphagus alkaliphilus
Algoriphagus antarcticus,Algoriphagus antarcticus
Algoriphagus aquaeductus,Algoriphagus aquaeductus
Algoriphagus aquaemixtae,Algoriphagus aquaemixtae
Algoriphagus aquatilis,Algoriphagus aquatilis
Algoriphagus aquimarinus,Algoriphagus aquimarinus
Algoriphagus aquimaris,Algoriphagus aquimaris
Algoriphagus boritolerans,Algoriphagus boritolerans
Algoriphagus chordae,algoriphagus chordae
Algoriphagus chungangensis,Algoriphagus chungangensis
Algoriphagus confluentis,Algoriphagus confluentis
Algoriphagus faecimaris,Algoriphagus faecimaris
Algoriphagus halophilus,Algoriphagus halophilus
Algoriphagus hitonicola,Algoriphagus hitonicola
Algoriphagus iocasae,Algoriphagus iocasae
Algoriphagus jejuensis,Algoriphagus jejuensis
Algoriphagus litorisediminis,Algoriphagus litorisediminis
Algoriphagus locisalis,Algoriphagus locisalis
Algoriphagus lutimaris,Algoriphagus lutimaris
Algoriphagus machipongonensis,Algoriphagus machipongonensis
Algoriphagus mannitolivorans,Algoriphagus mannitolivoran
Algoriphagus marincola,Algoriphagus marincola
Algoriphagus marinus,Algoriphagus marinus
Algoriphagus marisflavi,Algoriphagus marisflavi
Algoriphagus namhaensis,Algoriphagus namhaensis
Algoriphagus olei,Algoriphagus olei
Algoriphagus ornithinivorans,Algoriphagus ornithinivoran
Algoriphagus ratkowskyi,Algoriphagus ratkowskyi
Algoriphagus resistens,Algoriphagus resisten
Algoriphagus roseus,Algoriphagus roseus
Algoriphagus sanaruensis,Algoriphagus sanaruensis
Algoriphagus shivajiensis,Algoriphagus shivajiensis
Algoriphagus sp.,Algoriphagus sp .
Algoriphagus taiwanensis,Algoriphagus taiwanensis
Algoriphagus terrigena,Algoriphagus terrigena
Algoriphagus trabzonensis,Algoriphagus trabzonensis
Algoriphagus vanfongensis,Algoriphagus vanfongensis
Algoriphagus winogradskyi,Algoriphagus winogradskyi
Algoriphagus yeomjeoni,Algoriphagus yeomjeoni
Algoriphagus zhangzhouensis,Algoriphagus zhangzhouensis
Aliagarivorans marinus,Aliagarivorans marinus
Aliagarivorans taiwanensis,Aliagarivorans taiwanensis
Alicycliphilus denitrificans,Alicycliphilus denitrificans
Alicyclobacillus acidiphilus,alicyclobacillus acidiphilus
Alicyclobacillus acidocaldarius,alicyclobacillus acidocaldarius
Alicyclobacillus acidocaldarius subsp. acidocaldarius,alicyclobacillus acidocaldarius subsp . acidocaldarius
Alicyclobacillus acidocaldarius subsp. rittmannii,alicyclobacillus acidocaldarius subsp . rittmannii
Alicyclobacillus acidoterrestris,alicyclobacillus acidoterrestris
Alicyclobacillus aeris,alicyclobacillus aeris
Alicyclobacillus cellulosilyticus,alicyclobacillus cellulosilyticus
Alicyclobacillus contaminans,alicyclobacillus contaminan
Alicyclobacillus cycloheptanicus,alicyclobacillus cycloheptanicus
Alicyclobacillus dauci,alicyclobacillus dauci
Alicyclobacillus disulfidooxidans,alicyclobacillus disulfidooxidans
Alicyclobacillus fastidiosus,alicyclobacillus fastidiosus
Alicyclobacillus ferrooxydans,alicyclobacillus ferrooxydan
